Pin_Num  Signal_Name     Direction  Side     Offset
-----------------------------------------------------
1        NC              NC         bottom   0
2        Vdd_IO          power      bottom   90
3        GND_IO          ground     bottom   180
4        Bus[0]          input      bottom   270
5        Bus[1]          input      bottom   360
6        Bus[2]          input      bottom   450
7        Bus[3]          input      bottom   540
8        Bus[4]          input      bottom   630
9        Bus[5]          input      bottom   720
10       Bus[6]          input      bottom   810
11       Bus[7]          input      bottom   1000
12       Bus[8]          input      right    0
13       Bus[9]          input      right    90
14       Bus[10]         input      right    180
15       Bus[11]         input      right    270
16       Bus[12]         input      right    360
17       Bus[13]         input      right    450
18       Bus[14]         input      right    540
19       Bus[15]         input      right    630
20       NC              NC         right    720
21       GND_IO          ground     right    810
22       Vdd_IO          power      right    1000
33       CLK             input      top      0
32       NC              NC         top      90
31       NC              NC         top      180
30       Vdd_IO          power      top      270
29       GND_IO          ground     top      360
28       NC              NC         top      450
27       Vdd_core        power      top      540
26       GND_core        ground     top      630
25       NC              NC         top      720
24       NC              NC         top      810
23       NC              NC         top      1000
34       NC              NC         left     1000
35       Vdd_IO          power      left     910
36       GND_IO          ground     left     820
37       NC              NC         left     730
38       wr_en           input      left     640
39       chip_sel        input      left     550
40       Vdd_core        power      left     460
41       GND_core        ground     left     370
42       NC              NC         left     280
43       output_ready    output     left     190
44       output          output     left     0
